"window","arm","n","events","person_years","rate_per_10k_yr","median_fu_yrs"
"2021-2024","not linked",380236,715,1375117.61259411,5.19955524859562,3.63586584531143
"2021-2024","bioRxiv-linked",19692,6,75874.970568104,0.790774606576553,3.98083504449008
"2018-2024","not linked",590299,1003,2850447.09103354,3.51874624565062,4.72005475701574
"2018-2024","bioRxiv-linked",19699,6,75916.4681724846,0.790342351855438,3.98083504449008
