model,hr,lo,hi,p,p_type,events,n
Unadjusted,0.155867087924923,0.0697896356604892,0.348111132380504,5.7899192290226e-06,Wald,721,399928
"Journal stratified, year-adjusted",0.224401782803223,0.100181786705944,0.502647854275861,0.000281537158123832,Wald,721,399928
Journal- and year-stratified,0.222786476286412,0.0993181422298537,0.499745695013581,0.000269686150934129,Wald,721,399928
"Firth-penalized, journal- and year-stratified",0.241006,0.099213,0.481306,4.0147682e-06,penalised likelihood ratio,721,399928
Full 2018-2024 cohort,0.222740738852468,0.0992980496685904,0.499641603335908,0.000269150445113242,Wald,1009,609998
Retraction or expression of concern,0.245332341195154,0.115983084400352,0.518937377355285,0.000236820553746109,Wald,743,399928
