"model","powers","parameters","deviance","AIC","converged"
"Null","",1,5496.33484365277,8180.66380468863,TRUE
"Linear","1",2,4743.21801102933,7429.54697206517,TRUE
"Log-only","0",2,4853.02009885368,7539.34905988953,TRUE
"Best FP1","0.5",2,4726.84766385503,7413.17662489087,TRUE
"Best FP2","-0.5,0",3,4642.53061958795,7330.85958062381,TRUE
