"cohort","posting_start","posting_end","maximum_interval_days","n_pairs","n_major","odds_ratio_per_year","ci95_low","ci95_high","wald_p"
"Published within 365 days","2021-01-01","2024-02-29",365,41902,3517,0.835687798889505,0.803373665178867,0.869301705399189,4.60736150029398e-19
"Published within 730 days","2021-01-01","2023-03-01",730,37084,3572,0.788653980217846,0.743719887665951,0.836302902246466,2.1466799547584e-15
