"impact","estimate","lower","upper","eta","se"
0.5,0.582219573779153,0.495582404389615,0.664063170792334,0.331891652729885,0.178348211724424
1,0.53253173865312,0.480635644477921,0.583733355626588,0.130311042654836,0.106024094948286
2,0.537732363841688,0.497166613818448,0.577804613386755,0.151216949009968,0.0829339872724208
5,0.601636434215319,0.574111330953738,0.628533621547662,0.41228826280999,0.0579810718261186
10,0.674829918082678,0.637509674010385,0.710055365670759,0.73011231149384,0.0844595136079443
20,0.753671906302874,0.691530040029898,0.806792757423628,1.11829277423727,0.158678901201374
40,0.825810671639421,0.742095314921977,0.886508005669356,1.55622273446221,0.254762817223038
